scale,step,ablation_type,R_mean,R_std,n_seeds
py28b,25000,none,1.0,0.0,3
py14b,5000,second,0.8145636602543278,0.0003163049441496734,3
py70m,2,none,1.0,0.0,3
py70m,5000,fifth,1.507328262314397,0.001816996901232904,3
py70m,8000,second,1.1221267549352152,8.16646870728475e-05,3
py1b,40000,none,1.0,0.0,3
py70m,64,random,0.5259530252716401,0.8450242009320988,3
py160m,5000,leading,1.3011878685364737,9.31428371399967e-05,10
py28b,75000,leading,2.459653753991938,0.0004244077026357045,3
py70m,5000,second,0.48448899994406536,8.221136477633857e-05,3
py14b,100000,leading,2.3025374265351797,0.006566415427456896,8
py69b,16000,none,1.0,0,1
py410m,30000,leading,2.1295037883780483,0.00010446626346290193,18
py70m,4,none,1.0,0.0,3
py1b,14000,none,1.0,0.0,3
py14b,9000,leading,1.3333953632939153,0.00011544325555750802,5
py1b,22000,leading,2.6201391911648257,3.5444281747925996e-05,9
py410m,5000,fifth,0.516757452512969,0.0003507188029192052,3
py410m,22000,none,1.0,0.0,3
py14b,8000,none,1.0,0.0,2
py14b,143000,random,0.9040181535320149,0.7502454648046251,2
py69b,143000,second,1.6698412145004415,0.00016080537141884788,3
py1b,64,none,1.0,0.0,3
py160m,50000,fifth,1.4746812068820512,0.00021209444547822123,3
py14b,50000,fifth,0.5322320589278305,0.0001882543755825007,3
py69b,90000,none,1.0,0.0,3
py70m,4000,random,-0.18517601158235952,1.4437389947868287,5
py69b,25000,none,1.0,0.0,3
py14b,13000,leading,1.3598111059263949,5.120401032183117e-05,5
py1b,4000,leading,3.354131444907786,0.00023610897963016064,4
py28b,10000,random,0.8220277319767588,1.8946365100672813,5
py410m,17000,leading,1.1207482160977964,6.675711403506652e-05,8
py69b,13000,leading,2.034578677893877,8.233067259385087e-05,5
py1b,28000,none,1.0,0.0,3
py1b,40000,leading,2.33499264983303,4.31821291663783e-05,5
py70m,100000,second,0.4191145330719226,2.212171280864483e-05,3
py70m,3000,leading,2.055978854840281,0.000183628999372743,5
py410m,75000,none,1.0,0.0,3
py70m,10000,random,1.6377083647684039,1.658129306286785,7
py410m,5000,random,-0.16419629494460194,3.4245922379681626,3
py160m,50000,second,0.3296962967319003,1.2221903895469314e-05,3
py160m,143000,leading,1.7226298353301648,0.00019595940239920423,10
py1b,22000,random,0.7140093684438331,1.0938990611717851,3
py69b,143000,random,1.2691757341213015,0.7661020620315391,3
py70m,45000,leading,1.7002372675583441,8.068661622239429e-05,5
py14b,50000,random,-2.153826721606515,0.923556584981396,3
py14b,17000,none,1.0,0.0,3
py70m,5000,leading,1.8387146231383595,0.0001134363841923677,14
py1b,25000,none,1.0,0.0,3
py410m,143000,fifth,1.2830522967323013,9.862658342463373e-05,3
py410m,100000,none,1.0,0.0,3
py28b,40000,none,1.0,0.0,3
py14b,17000,leading,1.5134855363322615,6.50488479568702e-05,5
py410m,60000,none,1.0,0.0,3
py70m,16000,leading,1.5926166259765304,5.6520132791873215e-05,10
py14b,22000,leading,1.4798995772077816,6.187318029961673e-05,5
py70m,16000,second,0.6377389644860101,6.004606569836502e-05,3
py410m,90000,none,1.0,0.0,3
py70m,143000,leading,0.7319806037956151,0.00015907832866899577,15
py410m,8000,leading,1.6215630255112674,0.00012879039427369983,8
py410m,7000,leading,1.2592178597331254,4.951325387035101e-05,3
py69b,5000,leading,1.0434837908561434,1.562664793626675e-05,4
py410m,10000,random,1.8067420506272533,3.1973855520384324,5
py14b,7000,none,1.0,0.0,3
py14b,30000,none,1.0,0.0,3
py14b,100000,fifth,1.2363927487552322,0.0007407093392121772,3
py28b,40000,leading,2.273824300318076,0.00037666985532975775,3
py160m,16000,leading,0.9116264668614683,4.995814696078753e-05,10
py1b,30000,random,1.753919322798596,2.9484665268913943,5
py410m,9000,none,1.0,0.0,3
py70m,17000,random,0.04034561554589136,2.7529792365111407,5
py410m,40000,leading,1.9789025136135254,0.00021146472837311353,3
py14b,256,none,1.0,0.0,3
py1b,90000,none,1.0,0.0,3
py1b,35000,none,1.0,0.0,3
py70m,8000,leading,2.014201941060931,9.771555066768826e-05,5
py160m,3000,fifth,0.8347222748328308,0.002421395874460189,3
py69b,15000,none,1.0,0.0,3
py69b,28000,leading,2.689435493712759,7.286159397823511e-06,2
py14b,8000,leading,1.299270447724524,1.8021755342489953e-06,2
py410m,5000,leading,1.5054269351908642,0.00022889025871821172,13
py14b,143000,fifth,3.141710681963989,0.002369864472217186,3
py1b,6000,leading,1.2485379715280331,0.00012538559261510152,2
py1b,75000,leading,2.5634765178588936,0.00041632442560367273,5
py70m,16,none,1.0,0.0,3
py70m,143000,fifth,0.5641540792588652,0.0012059584770159415,3
py14b,9000,none,1.0,0.0,3
py1b,22000,none,1.0,0.0,3
py70m,10000,second,0.6229740720701388,4.8985235095005345e-05,3
py410m,8000,random,0.8263428693810948,1.3660270256668106,5
py69b,75000,none,1.0,0.0,3
py1b,45000,random,3.004839248420678,4.029399665556195,5
py14b,40000,leading,1.5557234700940843,9.573942447176785e-05,5
py69b,125000,leading,3.2636103940172156,0.0013729078093252603,5
py410m,143000,second,0.36738513499625974,4.4771322407139616e-05,3
py410m,100000,leading,1.778182728253551,8.402036103676961e-05,18
py69b,40000,leading,2.779443450625498,0.00030872183119042104,5
py14b,16000,none,1.0,0.0,3
py69b,14000,none,1.0,0.0,3
py69b,100000,random,2.8441803364394325,1.6981526006226253,3
py69b,17000,none,1.0,0.0,3
py69b,60000,leading,2.7851396304890677,0.00015289070688828704,5
py69b,18000,leading,2.208791881163889,8.403913457437988e-05,5
py70m,13000,random,-1.0827360984400487,1.981726845346459,4
py14b,18000,leading,1.8347511269506225,6.287542437131256e-05,5
py1b,17000,leading,1.8491917545838663,3.372278175961804e-05,10
py14b,8000,second,3.2585906178592032,0.002237367007538943,3
py1b,16000,leading,1.941638055234693,2.6635157030820918e-05,10
py69b,75000,leading,2.905651311250197,0.0010952702699186965,5
py410m,6000,leading,1.933287575571068,0.00016967016125115196,3
py14b,100000,second,0.32338464985735066,2.5817071565424106e-05,3
py28b,13000,leading,2.273803744429833,0.0003070493408273788,5
py410m,16000,leading,1.3322801723966764,4.2730416828516e-05,13
py14b,143000,leading,2.4091238867586933,0.0021263831267747924,8
py410m,90000,leading,1.838865867163051,7.633765767629801e-05,3
py70m,45000,random,0.7627657515568258,2.308468619986309,5
py70m,5000,random,1.2023842048487412,2.2592724040411225,7
py69b,25000,leading,2.667459550221982,5.142266388345185e-05,5
py14b,19000,none,1.0,0.0,3
py1b,3000,random,0.6950379673417959,1.944026299065162,4
py14b,7000,leading,1.0733507480831197,8.772332138658083e-05,5
py69b,22000,none,1.0,0.0,3
py410m,143000,random,3.1414420652866313,4.058180001370355,8
py69b,35000,leading,3.058086455763597,0.00021343101431513549,5
py410m,13000,leading,1.602921609076264,0.00010278068923611741,8
py69b,60000,none,1.0,0.0,3
py14b,28000,leading,1.4601303613241607,0.00014349100192866454,5
py69b,30000,second,1.6670787313802087,0.00014492251244433433,3
py160m,3000,second,0.17537446077741614,1.781044166824173e-05,3
py28b,20000,none,1.0,0.0,3
py410m,5000,none,1.0,0.0,3
py1b,11000,leading,1.3169851235607468,4.220466426045405e-05,3
py69b,110000,leading,3.2327057269827377,0.0019890706856206747,5
py1b,30000,leading,2.4248569972448393,2.597108348531219e-05,15
py410m,35000,none,1.0,0.0,3
py410m,125000,none,1.0,0.0,3
py1b,11000,none,1.0,0.0,3
py14b,5000,fifth,-0.5130106085528947,0.0002857189546510068,3
py1b,17000,none,1.0,0.0,3
py69b,30000,fifth,0.9267897523215384,0.0010490294245376365,3
py69b,5000,random,0.5561177981156045,1.2811797670868728,3
py28b,143000,none,1.0,0.0,3
py70m,512,none,1.0,0.0,3
py1b,110000,leading,2.117975417519158,9.314671539551646e-05,5
py410m,7000,none,1.0,0.0,3
py70m,8000,random,1.1067289692559166,2.5510749289802126,8
py69b,3000,random,0.2562817391589124,1.4201259114899432,2
py70m,3000,random,-0.011876213406711439,0.8446871981587862,7
py70m,50000,fifth,0.070554367156101,0.0002822666104116216,3
py1b,5000,leading,2.6213626520268867,0.00030749228821815304,14
